"id";"learPN";"tescaPN";"desc";"qtyPerBox";"createdAt";"updatedAt"
1;"L003524711NCPAB";"350647106";"CF OV24 L3 L4_FSB_RH_X3";10;"2025-11-09 15:08:29";"2025-12-07 13:56:25"
2;"L002525408NCPAF";"350647328";"CF CC21_L4_RSB60_X3";2;"2025-11-09 15:08:30";"2025-11-09 15:08:30"
3;"L002525410NCPAF";"350647304";"CF CC21_L3_RSB40 X3";20;"2025-11-09 15:08:30";"2025-11-09 15:08:30"
4;"L002525411NCPAF";"350647323";"CF CC21_L4_RSB40_X3";17;"2025-11-09 15:08:31";"2025-11-09 15:08:31"
5;"L002525419NCPAG";"350647262";"CF CC21_L2_RSC100_X3";30;"2025-11-09 15:08:32";"2025-11-09 15:08:32"
6;"L002525420NCPAG";"350647267";"CF CC21_L3_RSC100 X3";28;"2025-11-09 15:08:32";"2025-11-09 15:08:32"
7;"L002525422NCPAG";"350647281";"CF CC21_L4_RSC100_X3";5;"2025-11-09 15:08:33";"2025-11-09 15:08:33"
8;"L002525532NCPAE";"350647205";"CF CC21_L2_FSB_LH_W/SIAB_X3";28;"2025-11-09 15:08:33";"2025-11-09 15:08:33"
9;"L002525533NCPAE";"350647224";"CF CC21_L2_FSB_RH_W/SIAB_X3";28;"2025-11-09 15:08:34";"2025-11-09 15:08:34"
10;"L002525534NCPAF";"350641925";"CF CC21_L3_FSB_LH X3";18;"2025-11-09 15:08:35";"2025-11-09 15:08:35"
11;"L002525701NCPAF";"350647243";"CF CC21_L4_FSB_LH_X3";9;"2025-11-09 15:08:36";"2025-11-09 15:08:36"
12;"L002525702NCPAF";"350647248";"CF CC21_L4_FSB_RH_X3";9;"2025-11-09 15:08:36";"2025-11-09 15:08:36"
13;"L002525710NCPAE";"350647106";"CF CC21_L2_FSC_LH_4W_X3";25;"2025-11-09 15:08:37";"2025-11-09 15:08:37"
14;"L002525711NCPAE";"350647120";"CF CC21_L2_FSC_RH_4W_X3";25;"2025-11-09 15:08:37";"2025-11-09 15:08:37"
15;"L002525714NCPAE";"350647163";"CF CC21_L3_FSC_RH_4W X3";23;"2025-11-09 15:08:37";"2025-11-09 15:08:37"
16;"L002525715NCPAE";"350647125";"CF CC21_L3_FSC_LH_6W X3";23;"2025-11-09 15:08:38";"2025-11-09 15:08:38"
17;"L002525724NCPAE";"350647200";"CF CC21_L4 FSC_RH_4W_X3";20;"2025-11-09 15:08:38";"2025-11-09 15:08:38"
18;"L002525725NCPAE";"350647168";"CF CC21_L4_FSC_LH_6W_X3";20;"2025-11-09 15:08:39";"2025-11-09 15:08:39"
19;"L002767142NCPAD";"350714667";"CF CC21_L2_RSB100_X3";30;"2025-11-09 15:08:40";"2025-11-09 15:08:40"
